nivel,tipo,curso,semestre,matriculados
Doutorado,Acadêmico,Biologia Animal,2015-2,0
Doutorado,Acadêmico,Biologia Animal,2016-1,0
Doutorado,Acadêmico,Biologia Animal,2016-2,0
Doutorado,Acadêmico,Biologia Animal,2017-1,0
Doutorado,Acadêmico,Biologia Animal,2017-2,0
Doutorado,Acadêmico,Biologia Animal,2018-1,0
Doutorado,Acadêmico,Biologia Animal,2018-2,0
Doutorado,Acadêmico,Biologia Animal,2019-1,5
Doutorado,Acadêmico,Biologia Animal,2019-2,0
Doutorado,Acadêmico,Biologia Animal,2020-1,5
Doutorado,Acadêmico,Biologia Animal,2020-2,0
Doutorado,Acadêmico,Biologia Animal,2021-1,5
Doutorado,Acadêmico,Biologia Animal,2021-2,0
Doutorado,Acadêmico,Biologia Animal,2022-1,1
Doutorado,Acadêmico,Biologia Animal,2022-2,2
Doutorado,Acadêmico,Biologia Animal,2023-1,5
Doutorado,Acadêmico,Biologia Animal,2023-2,1
Doutorado,Acadêmico,Biologia Animal,2024-1,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2010-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2010-2,5
Doutorado,Acadêmico,Biologia Celular e Estrutural,2011-1,2
Doutorado,Acadêmico,Biologia Celular e Estrutural,2011-2,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2012-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2012-2,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2013-1,8
Doutorado,Acadêmico,Biologia Celular e Estrutural,2013-2,8
Doutorado,Acadêmico,Biologia Celular e Estrutural,2014-1,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2014-2,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2015-1,8
Doutorado,Acadêmico,Biologia Celular e Estrutural,2015-2,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2016-1,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2016-2,5
Doutorado,Acadêmico,Biologia Celular e Estrutural,2017-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2017-2,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2018-1,6
Doutorado,Acadêmico,Biologia Celular e Estrutural,2018-2,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2019-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2019-2,2
Doutorado,Acadêmico,Biologia Celular e Estrutural,2020-1,5
Doutorado,Acadêmico,Biologia Celular e Estrutural,2020-2,0
Doutorado,Acadêmico,Biologia Celular e Estrutural,2021-1,7
Doutorado,Acadêmico,Biologia Celular e Estrutural,2021-2,1
Doutorado,Acadêmico,Biologia Celular e Estrutural,2022-1,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2022-2,4
Doutorado,Acadêmico,Biologia Celular e Estrutural,2023-1,3
Doutorado,Acadêmico,Biologia Celular e Estrutural,2023-2,5
Doutorado,Acadêmico,Biologia Celular e Estrutural,2024-1,4
Doutorado,Acadêmico,Bioquímica Agrícola,2010-1,8
Doutorado,Acadêmico,Bioquímica Agrícola,2010-2,3
Doutorado,Acadêmico,Bioquímica Agrícola,2011-1,7
Doutorado,Acadêmico,Bioquímica Agrícola,2011-2,2
Doutorado,Acadêmico,Bioquímica Agrícola,2012-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2012-2,1
Doutorado,Acadêmico,Bioquímica Agrícola,2013-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2013-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2014-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2014-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2015-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2015-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2016-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2016-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2017-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2017-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2018-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2018-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2019-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2019-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2020-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2020-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2021-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2021-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2022-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2022-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2023-1,0
Doutorado,Acadêmico,Bioquímica Agrícola,2023-2,0
Doutorado,Acadêmico,Bioquímica Agrícola,2024-1,0
Doutorado,Acadêmico,Bioquímica Aplicada,2010-1,0
Doutorado,Acadêmico,Bioquímica Aplicada,2010-2,0
Doutorado,Acadêmico,Bioquímica Aplicada,2011-1,2
Doutorado,Acadêmico,Bioquímica Aplicada,2011-2,3
Doutorado,Acadêmico,Bioquímica Aplicada,2012-1,10
Doutorado,Acadêmico,Bioquímica Aplicada,2012-2,7
Doutorado,Acadêmico,Bioquímica Aplicada,2013-1,4
Doutorado,Acadêmico,Bioquímica Aplicada,2013-2,10
Doutorado,Acadêmico,Bioquímica Aplicada,2014-1,9
Doutorado,Acadêmico,Bioquímica Aplicada,2014-2,4
Doutorado,Acadêmico,Bioquímica Aplicada,2015-1,7
Doutorado,Acadêmico,Bioquímica Aplicada,2015-2,11
Doutorado,Acadêmico,Bioquímica Aplicada,2016-1,11
Doutorado,Acadêmico,Bioquímica Aplicada,2016-2,6
Doutorado,Acadêmico,Bioquímica Aplicada,2017-1,2
Doutorado,Acadêmico,Bioquímica Aplicada,2017-2,9
Doutorado,Acadêmico,Bioquímica Aplicada,2018-1,10
Doutorado,Acadêmico,Bioquímica Aplicada,2018-2,6
Doutorado,Acadêmico,Bioquímica Aplicada,2019-1,11
Doutorado,Acadêmico,Bioquímica Aplicada,2019-2,7
Doutorado,Acadêmico,Bioquímica Aplicada,2020-1,11
Doutorado,Acadêmico,Bioquímica Aplicada,2020-2,2
Doutorado,Acadêmico,Bioquímica Aplicada,2021-1,1
Doutorado,Acadêmico,Bioquímica Aplicada,2021-2,3
Doutorado,Acadêmico,Bioquímica Aplicada,2022-1,4
Doutorado,Acadêmico,Bioquímica Aplicada,2022-2,6
Doutorado,Acadêmico,Bioquímica Aplicada,2023-1,3
Doutorado,Acadêmico,Bioquímica Aplicada,2023-2,8
Doutorado,Acadêmico,Bioquímica Aplicada,2024-1,20
Doutorado,Acadêmico,Botânica,2010-1,9
Doutorado,Acadêmico,Botânica,2010-2,2
Doutorado,Acadêmico,Botânica,2011-1,11
Doutorado,Acadêmico,Botânica,2011-2,0
Doutorado,Acadêmico,Botânica,2012-1,6
Doutorado,Acadêmico,Botânica,2012-2,2
Doutorado,Acadêmico,Botânica,2013-1,7
Doutorado,Acadêmico,Botânica,2013-2,1
Doutorado,Acadêmico,Botânica,2014-1,7
Doutorado,Acadêmico,Botânica,2014-2,1
Doutorado,Acadêmico,Botânica,2015-1,6
Doutorado,Acadêmico,Botânica,2015-2,2
Doutorado,Acadêmico,Botânica,2016-1,5
Doutorado,Acadêmico,Botânica,2016-2,4
Doutorado,Acadêmico,Botânica,2017-1,5
Doutorado,Acadêmico,Botânica,2017-2,2
Doutorado,Acadêmico,Botânica,2018-1,7
Doutorado,Acadêmico,Botânica,2018-2,1
Doutorado,Acadêmico,Botânica,2019-1,7
Doutorado,Acadêmico,Botânica,2019-2,0
Doutorado,Acadêmico,Botânica,2020-1,6
Doutorado,Acadêmico,Botânica,2020-2,5
Doutorado,Acadêmico,Botânica,2021-1,0
